country,year,democracy,monarchy
Canada,2000,democracy,monarchy
Canada,2001,democracy,monarchy
Canada,2002,democracy,monarchy
Canada,2003,democracy,monarchy
Canada,2004,democracy,monarchy
Canada,2005,democracy,monarchy
Canada,2006,democracy,monarchy
Canada,2007,democracy,monarchy
Canada,2008,democracy,monarchy
Canada,2009,democracy,monarchy
Canada,2010,democracy,monarchy
Canada,2011,democracy,monarchy
Canada,2012,democracy,monarchy
Cuba,2000,autocracy,N/A
Cuba,2001,autocracy,N/A
Cuba,2002,autocracy,N/A
Cuba,2003,autocracy,N/A
Cuba,2004,autocracy,N/A
Cuba,2005,autocracy,N/A
Cuba,2006,autocracy,N/A
Cuba,2007,autocracy,N/A
Cuba,2008,autocracy,N/A
Cuba,2009,autocracy,N/A
Cuba,2010,autocracy,N/A
Cuba,2011,autocracy,N/A
Cuba,2012,autocracy,N/A
Haiti,2000,autocracy,N/A
Haiti,2001,autocracy,N/A
Haiti,2002,autocracy,N/A
Haiti,2003,autocracy,N/A
Haiti,2004,autocracy,N/A
Haiti,2005,autocracy,N/A
Haiti,2006,autocracy,N/A
Haiti,2007,autocracy,N/A
Haiti,2008,autocracy,N/A
Haiti,2009,autocracy,N/A
Haiti,2010,autocracy,N/A
Haiti,2011,autocracy,N/A
Haiti,2012,autocracy,N/A
Jamaica,2000,democracy,monarchy
Jamaica,2001,democracy,monarchy
Jamaica,2002,democracy,monarchy
Jamaica,2003,democracy,monarchy
Jamaica,2004,democracy,monarchy
Jamaica,2005,democracy,monarchy
Jamaica,2006,democracy,monarchy
Jamaica,2007,democracy,monarchy
Jamaica,2008,democracy,monarchy
Jamaica,2009,democracy,monarchy
Jamaica,2010,democracy,monarchy
Jamaica,2011,democracy,monarchy
Jamaica,2012,democracy,monarchy
Barbados,2000,democracy,monarchy
Barbados,2001,democracy,monarchy
Barbados,2002,democracy,monarchy
Barbados,2003,democracy,monarchy
Barbados,2004,democracy,monarchy
Barbados,2005,democracy,monarchy
Barbados,2006,democracy,monarchy
Barbados,2007,democracy,monarchy
Barbados,2008,democracy,monarchy
Barbados,2009,democracy,monarchy
Barbados,2010,democracy,monarchy
Barbados,2011,democracy,monarchy
Barbados,2012,democracy,monarchy
Dominica,2000,democracy,republic
Dominica,2001,democracy,republic
Dominica,2002,democracy,republic
Dominica,2003,democracy,republic
Dominica,2004,democracy,republic
Dominica,2005,democracy,republic
Dominica,2006,democracy,republic
Dominica,2007,democracy,republic
Dominica,2008,democracy,republic
Dominica,2009,democracy,republic
Dominica,2010,democracy,republic
Dominica,2011,democracy,republic
Dominica,2012,democracy,republic
Grenada,2000,democracy,monarchy
Grenada,2001,democracy,monarchy
Grenada,2002,democracy,monarchy
Grenada,2003,democracy,monarchy
Grenada,2004,democracy,monarchy
Grenada,2005,democracy,monarchy
Grenada,2006,democracy,monarchy
Grenada,2007,democracy,monarchy
Grenada,2008,democracy,monarchy
Grenada,2009,democracy,monarchy
Grenada,2010,democracy,monarchy
Grenada,2011,democracy,monarchy
Grenada,2012,democracy,monarchy
Mexico,2000,democracy,republic
Mexico,2001,democracy,republic
Mexico,2002,democracy,republic
Mexico,2003,democracy,republic
Mexico,2004,democracy,republic
Mexico,2005,democracy,republic
Mexico,2006,democracy,republic
