country,year,smoking_prevalence
Afghanistan,2000,11.8
Angola,2000,8.9
Albania,2000,20.0
Andorra,2000,30.5
United Arab Emirates,2000,16.1
Argentina,2000,23.7
Armenia,2000,26.7
Antigua and Barbuda,2000,3.6
Australia,2000,21.4
Austria,2000,30.4
Azerbaijan,2000,20.3
Burundi,2000,12.6
Belgium,2000,27.2
Benin,2000,8.3
Burkina Faso,2000,12.0
Bangladesh,2000,22.8
Bulgaria,2000,34.3
Bahrain,2000,12.5
Bosnia and Herzegovina,2000,36.3
Belarus,2000,28.6
Belize,2000,9.2
Brazil,2000,16.6
Barbados,2000,6.5
Bhutan,2000,10.4
Botswana,2000,13.4
Central African Republic,2000,8.3
Canada,2000,21.7
Switzerland,2000,28.0
Chile,2000,35.5
China,2000,27.3
Cameroon,2000,7.7
Colombia,2000,12.3
Comoros,2000,12.9
Costa Rica,2000,9.7
Cuba,2000,19.1
Cyprus,2000,33.6
Germany,2000,25.6
Djibouti,2000,21.6
Dominica,2000,5.9
Denmark,2000,31.4
Dominican Republic,2000,13.0
Algeria,2000,15.8
Ecuador,2000,7.4
Egypt,2000,16.0
Eritrea,2000,6.5
Spain,2000,29.8
Estonia,2000,28.5
Ethiopia,2000,3.8
Finland,2000,21.5
Fiji,2000,14.6
France,2000,30.9
Gabon,2000,9.4
Georgia,2000,22.7
Ghana,2000,4.6
Guinea,2000,6.3
Guinea-Bissau,2000,6.5
Equatorial Guinea,2000,10.3
Greece,2000,38.9
Grenada,2000,9.1
Guatemala,2000,8.1
Guyana,2000,14.4
Honduras,2000,13.0
Croatia,2000,26.0
Haiti,2000,9.1
Hungary,2000,30.6
Indonesia,2000,27.9
India,2000,16.1
Ireland,2000,26.8
Iraq,2000,17.1
Iceland,2000,24.5
Israel,2000,24.4
Italy,2000,23.4
Jamaica,2000,15.7
Jordan,2000,26.1
Japan,2000,29.8
Kazakhstan,2000,18.9
Kenya,2000,10.9
Cambodia,2000,21.7
Kiribati,2000,49.4
Kuwait,2000,22.8
Lebanon,2000,35.3
Liberia,2000,7.2
Libya,2000,11.0
Sri Lanka,2000,12.2
Lesotho,2000,20.3
Lithuania,2000,25.1
Luxembourg,2000,28.8
Latvia,2000,30.6
