country,year,world_region,infected_num,population,infected_with_hiv_num,case_detection_rate,case_fatality_rate,infected_ratio,hiv_in_tb_ratio
Afghanistan,2000,EMR,38000,20130323,6.0,19.0,0.37,0.0018876994671173,0.0001578947368421
Afghanistan,2001,EMR,38000,20284311,6.0,26.0,0.35,0.0018733690289012,0.0001578947368421
Afghanistan,2002,EMR,40000,21378110,6.0,34.0,0.31,0.0018710727936192,0.00015
Afghanistan,2003,EMR,43000,22733047,6.0,32.0,0.32,0.0018915194254426,0.0001395348837209
Afghanistan,2004,EMR,44000,23560660,6.0,41.0,0.28,0.0018675198402761,0.0001363636363636
Afghanistan,2005,EMR,46000,24404569,7.0,47.0,0.26,0.0018848929477099,0.0001521739130434
Afghanistan,2006,EMR,48000,25424099,9.0,53.0,0.24,0.0018879725098616,0.0001875
Afghanistan,2007,EMR,49000,25909852,10.0,59.0,0.21,0.0018911725161533,0.000204081632653
Afghanistan,2008,EMR,50000,26482615,11.0,56.0,0.22,0.0018880310724601,0.00022
Afghanistan,2009,EMR,52000,27466100,12.0,50.0,0.25,0.0018932429431189,0.0002307692307692
Afghanistan,2010,EMR,54000,28284084,13.0,52.0,0.24,0.001909200948491,0.0002407407407407
Afghanistan,2011,EMR,56000,29347711,14.0,50.0,0.24,0.0019081556309451,0.00025
Afghanistan,2012,EMR,58000,30560030,16.0,50.0,0.25,0.0018979038960367,0.0002758620689655
Albania,2000,EUR,700,3166141,1.0,86.0,0.03,0.0002210893324081,0.0014285714285714
Albania,2001,EUR,640,3147944,1.0,86.0,0.03,0.0002033073015276,0.0015625
Albania,2002,EUR,680,3134100,1.0,87.0,0.03,0.0002169681886346,0.0014705882352941
Albania,2003,EUR,640,3118092,1.0,87.0,0.03,0.0002052537256758,0.0015625
Albania,2004,EUR,630,3098661,1.0,87.0,0.04,0.0002033136248205,0.0015873015873015
Albania,2005,EUR,580,3076163,2.0,87.0,0.02,0.0001885465757178,0.0034482758620689
Albania,2006,EUR,540,3050802,2.0,87.0,0.02,0.0001770026373392,0.0037037037037037
Albania,2007,EUR,500,3022889,2.0,87.0,0.03,0.0001654046840621,0.004
Albania,2008,EUR,490,2992927,2.0,87.0,0.04,0.0001637193289378,0.0040816326530612
Albania,2009,EUR,510,2961484,3.0,87.0,0.01,0.0001722109591002,0.0058823529411764
Albania,2010,EUR,490,2928723,3.0,88.0,0.02,0.0001673084139401,0.0061224489795918
Albania,2011,EUR,480,2911504,4.0,87.0,0.02,0.0001648632459374,0.0083333333333333
Albania,2012,EUR,470,2910006,4.0,87.0,0.02,0.0001615116944776,0.0085106382978723
Algeria,2000,AFR,23000,30903885,74.0,80.0,0.11,0.0007442429972801,0.0032173913043478
Algeria,2001,AFR,23000,31331224,65.0,80.0,0.11,0.0007340919716382,0.0028260869565217
Algeria,2002,AFR,24000,31750827,42.0,80.0,0.11,0.0007558858230684,0.00175
Algeria,2003,AFR,25000,32175816,68.0,80.0,0.11,0.0007769810717465,0.00272
Algeria,2004,AFR,25000,32628297,74.0,80.0,0.11,0.0007662060940538,0.00296
Algeria,2005,AFR,27000,33109248,90.0,80.0,0.11,0.0008154821275312,0.0033333333333333
Algeria,2006,AFR,26000,33623506,100.0,80.0,0.11,0.0007732685580141,0.0038461538461538
Algeria,2007,AFR,27000,34189418,120.0,80.0,0.11,0.0007897180349779,0.0044444444444444
Algeria,2008,AFR,26000,34816961,120.0,80.0,0.11,0.0007467624759093,0.0046153846153846
Algeria,2009,AFR,27000,35490449,140.0,80.0,0.11,0.0007607680590346,0.0051851851851851
Algeria,2010,AFR,28000,36188242,150.0,80.0,0.11,0.000773731976259,0.0053571428571428
Algeria,2011,AFR,27000,36903379,160.0,79.0,0.11,0.0007316403194406,0.0059259259259259
Algeria,2012,AFR,28000,37646159,180.0,79.0,0.11,0.000743767777212,0.0064285714285714
Andorra,2000,EUR,14,65683,,87.0,0.08,0.0002131449537932,0.1355407875875084
Andorra,2001,EUR,12,65847,,87.0,0.08,0.0001822406487767,0.1355407875875084
Andorra,2002,EUR,6,66507,,87.0,0.08,9.021606748161848e-05,0.1355407875875084
Andorra,2003,EUR,13,69484,,87.0,0.08,0.0001870934315813,0.1355407875875084
Andorra,2004,EUR,8,74320,,87.0,0.08,0.00010764262648,0.1355407875875084
Andorra,2005,EUR,12,77430,,87.0,0.08,0.00015497869043,0.1355407875875084
Andorra,2006,EUR,14,79582,,87.0,0.08,0.0001759191777035,0.1355407875875084
Andorra,2007,EUR,6,81876,,87.0,0.08,7.328154770628756e-05,0.1355407875875084
Andorra,2008,EUR,5,83493,,87.0,0.08,5.988525984214245e-05,0.1355407875875084
Andorra,2009,EUR,9,83888,,87.0,0.08,0.0001072859050162,0.1355407875875084
Andorra,2010,EUR,8,80700,,87.0,0.08,9.913258983890954e-05,0.1355407875875084
Andorra,2011,EUR,3,77784,,87.0,0.08,3.856834310398025e-05,0.1355407875875084
Andorra,2012,EUR,10,76837,,87.0,0.08,0.0001301456329632,0.1355407875875084
Angola,2000,AFR,48000,16194869,9900.0,33.0,0.3,0.0029639017147962,0.20625
Angola,2001,AFR,52000,16747217,9700.0,42.0,0.31,0.0031049935042938,0.1865384615384615
Angola,2002,AFR,56000,17327706,10000.0,54.0,0.25,0.00323181845306,0.1785714285714285
Angola,2003,AFR,60000,17943699,11000.0,60.0,0.23,0.0033437921579045,0.1833333333333333
Angola,2004,AFR,65000,18600422,12000.0,54.0,0.25,0.00349454437109,0.1846153846153846
Angola,2005,AFR,71000,19291166,14000.0,52.0,0.27,0.0036804410889419,0.1971830985915492
Angola,2006,AFR,75000,20015282,16000.0,67.0,0.2,0.0037471368127613,0.2133333333333333
Angola,2007,AFR,79000,20778555,7100.0,52.0,0.25,0.0038019968183543,0.0898734177215189
Angola,2008,AFR,82000,21578650,20000.0,54.0,0.27,0.0038000523665752,0.2439024390243902
Angola,2009,AFR,86000,22414779,7800.0,48.0,0.27,0.0038367543128576,0.0906976744186046
Angola,2010,AFR,90000,23294824,22000.0,50.0,0.29,0.0038635192092457,0.2444444444444444
Angola,2011,AFR,93000,24218345,13000.0,51.0,0.27,0.0038400642157835,0.1397849462365591
Angola,2012,AFR,96000,25177397,24000.0,54.0,0.27,0.0038129438082896,0.25
Antigua and Barbuda,2000,AMR,5,74911,,87.0,0.21,6.674587176783115e-05,0.3770833333333332
Antigua and Barbuda,2001,AMR,1,76072,,87.0,0.85,1.3145441161005364e-05,0.3770833333333332
Antigua and Barbuda,2002,AMR,5,77026,,87.0,0.22,6.491314621037052e-05,0.3770833333333332
Antigua and Barbuda,2003,AMR,1,77885,,87.0,0.86,1.283944276818386e-05,0.3770833333333332
Antigua and Barbuda,2004,AMR,4,78721,,,0.21,5.0812362647832215e-05,0.3770833333333332
Antigua and Barbuda,2005,AMR,7,79615,3.0,87.0,0.23,8.792313006343026e-05,0.4285714285714285
Antigua and Barbuda,2006,AMR,5,80601,3.0,87.0,0.35,6.20339698018635e-05,0.6
Antigua and Barbuda,2007,AMR,2,81697,0.0,87.0,0.48,2.4480703085792626e-05,0.0
Antigua and Barbuda,2008,AMR,1,82902,0.0,87.0,0.87,1.2062435164410991e-05,0.0
Antigua and Barbuda,2009,AMR,3,84177,0.0,87.0,0.4,3.5639188852061724e-05,0.0
Antigua and Barbuda,2010,AMR,8,85323,6.0,87.0,0.3,9.376135391395053e-05,0.75
Antigua and Barbuda,2011,AMR,7,86329,4.0,87.0,0.29,8.108515099213474e-05,0.5714285714285714
Antigua and Barbuda,2012,AMR,3,87261,2.0,87.0,0.41,3.437961976140544e-05,0.6666666666666666
Argentina,2000,AMR,14000,37213982,1000.0,86.0,0.08,0.0003762026863988,0.0714285714285714
