fact_id,country_id,year_id,language_id,religion_id,region_id,population,infected_num,infected_with_hiv_num,case_detection_rate,case_fatality_rate,smoking_prevalence,gdp_per_capita,health_development_ratio,human_development_index,democracy,monarchy
1,1,1,20,4,1,20130323,38000,6,19.00,0.37,11.80,365.66,0.43,0.120,autocracy,N/A
2,5,1,7,5,3,16194869,48000,9900,33.00,0.30,8.90,556.84,0.23,0.123,autocracy,N/A
3,2,1,50,4,2,3166141,700,1,86.00,0.03,20.00,1126.68,2.72,0.762,democracy,republic
4,4,1,64,5,2,65683,14,999999,87.00,0.08,30.50,21854.25,0.00,0.000,democracy,N/A
5,6,1,9,5,4,37213982,14000,1000,86.00,0.08,23.70,7708.10,3.75,0.868,democracy,republic
6,7,1,51,5,2,3125627,1700,27,79.00,0.11,26.70,622.74,2.33,0.810,autocracy,N/A
7,9,1,14,5,2,8012926,1400,78,87.00,0.07,30.40,24564.46,14.20,0.941,democracy,republic
8,10,1,35,4,2,8174786,6500,160,79.00,0.25,20.30,655.12,0.90,0.344,autocracy,N/A
9,22,1,30,5,3,6470187,19000,9200,34.00,0.52,12.60,136.46,0.32,0.011,autocracy,N/A
10,15,1,32,5,2,10251715,1500,110,87.00,0.09,27.20,23041.53,13.40,1.091,democracy,monarchy
11,17,1,16,5,3,7221619,6200,1800,43.00,0.32,8.30,512.67,0.40,0.166,democracy,republic
12,12,1,8,4,6,134544303,298000,100,25.00,0.33,22.80,418.07,0.76,0.465,democracy,republic
13,21,1,40,5,2,8000524,4200,2,80.00,0.09,34.30,1621.24,4.10,0.857,democracy,republic
14,11,1,13,4,1,669580,240,7,87.00,0.07,12.50,13636.42,5.96,0.900,autocracy,N/A
15,14,1,37,5,2,9991318,8600,74,79.00,0.11,28.60,1276.49,5.43,0.556,autocracy,N/A
16,16,1,6,5,4,240793,120,21,89.00,0.06,9.20,3364.49,2.92,0.744,democracy,monarchy
17,20,1,7,5,4,174018285,89000,7700,87.00,0.10,16.60,3749.91,2.02,0.488,democracy,republic
18,13,1,6,5,4,262064,3,2,87.00,0.42,6.50,11268.42,5.11,0.922,democracy,monarchy
19,18,1,56,6,6,596861,1400,53,80.00,0.11,10.40,718.20,0.79,0.411,autocracy,N/A
20,19,1,6,5,3,1677378,15000,12000,61.00,0.45,13.40,3522.31,0.63,0.526,democracy,republic
21,25,1,6,5,4,30891798,2000,260,87.00,0.10,21.70,24271.00,12.76,0.953,democracy,monarchy
22,27,1,9,5,4,15503636,3500,500,87.00,0.19,35.50,5074.90,7.01,0.873,democracy,republic
23,28,1,2,2,5,1269581178,1360000,27000,33.00,0.10,27.30,959.37,1.95,0.685,autocracy,N/A
24,24,1,6,5,3,14912630,46000,24000,11.00,0.60,7.70,681.10,0.35,0.144,autocracy,N/A
25,29,1,9,5,4,39089945,14000,1400,81.00,0.11,12.30,2520.48,2.91,0.772,democracy,republic
26,30,1,13,4,3,536079,210,1,57.00,0.21,12.90,647.43,0.59,0.229,autocracy,N/A
27,32,1,9,5,4,11109106,1400,20,87.00,0.04,19.10,2747.10,8.72,0.872,autocracy,N/A
28,33,1,34,5,2,947668,38,4,87.00,0.02,33.60,14388.35,12.00,0.920,democracy,republic
